year,car_oem,car_make,vin_number,stock_number,kilometres,condition,body_style,engine,transmission,drive_train,doors,fuel_type,city_fuel,hwy_fuel,key_features,sale_price,original_price,discount_price
2021,Ford,Transit Connect XLT w-Dual Sliding Doors,NM0LS7T22M1488216,M1488216,25,New,Minivan,4 Cylinder Engine,FWD,4,Flexible,9.8,8.8,Missing Value," KEY FEATURES: 2021 Transit Connect, Cargo Van, white, 2.0L engine, LWD, XLT, 8-speed automatic transmission, backup camera, Ford pass, power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance & Non-stackable where applicable
Read Less ",36730,Missing Value,Missing Value
2021,Ford,"Escape SEL AWD Navi Power liftgate, 360 pack",1FMCU9H95MUA17511,UA17511,25,New,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,4,Gas,10.4,7.5," KEY FEATURES: 2021 Escape, SEL, Carbonized Gray, AWD, 2.0L engine, 8 speed auto, Leather seats, Heated seats, Heated steering wheel, Navigation, Adaptive cruise, Keyless entry, reverse backup camera, Reverse sensors, Remote start, Lane keeping system, Ford pass, SYNC, BLIS, Auto stop-start, power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",38399,39899,1500
2021,Ford,Ranger XLT SUPERCAB 4X4 SPORT APPEARANCE,1fter1fh0mld34404,LD34404,25,New,Truck,4 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,11.8,9.8," KEY FEATURES: 2021 Ranger XLT, 4x4, Super Cab, 2.3L ecoboost engine, Silver, Cloth seats, XLT series, trailer tow package, port appearance  package, 17 inch wheels, back up cam, Reverse Sensors Auto high beams, Fog lamps, BLIS, Ford Pass, Lane keeping system, SYNC 3 and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",40998,Missing Value,Missing Value
2021,Ford,Escape SEL AWD LEATHER HEATED SEATS AWD TECH PACKAGE,1FMCU9CZXMUA24316,UA24316,25,New,SUV,4 Cylinder Engine,CVT,AWD,4,Gasoline Hybrid,5.5,6.4," KEY FEATURES: 2021 Escape, SEL, Silver, AWD, 2.5L engine, Hybrid, auto, Leather seats, Heated seats, Heated steering wheel, SEL Tech package, B&O, Power liftgate, memory package, Wireless charging, Navigation, Adaptive cruise, Keyless entry, reverse backup camera, Reverse sensors, Remote start, Lane keeping system, Ford pass, SYNC, BLIS, Auto stop-start, power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",40999,42499,1500
2021,Ford,Ranger XLT 4WD CREW SPORT PACKAGE FX4,1fter4fh4mld51045,LD51045,25,New,Truck,4 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,11.8,9.8," KEY FEATURES: 2021 Ranger XLT, 4x4, Crew Cab, 2.3L ecoboost engine, Blue, Cloth seats, XLT series, trailer tow package, Sport appearance  package, 17 inch wheels, FX4 package, Reverse sensors, back up cam, Auto high beams, Fog lamps, BLIS, Ford Pass, Lane keeping system, SYNC 3 and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",44198,Missing Value,Missing Value
2017,Ford,Escape 4WD 4dr SE 1.5L 4CYL TWIN MOONROOF,1FMCU9GD9HUD31822,UD31822,"78,497",Used,SUV,4 Cylinder Engine,6 Speed Automatic,4x4,4,Gas,10.7,8.3," KEY FEATURES: 2017 Escape SE, AWD, 1.5L 4cyl, Black, Auto transmission, black Interior, heated seats, 17in wheels, Twin moonroof , backup camera, sync 3, Reverse sensors, Trailer tow , Power window, Power lock and more.
 SERVICE/RECON  Full Safety Inspection completed, oil and filter change completed -  Please contact us for more details. 
 Price includes safety.  We are a full disclosure dealership - ask to see this vehicle's CarFax report.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family-owned dealership and has been a proud member of the Brantford community for over 40 years!
Read Less ",18499,Missing Value,Missing Value
2021,Ford,Ranger XLT CREW 4X4 302A TECK PACKAGE APPEARANCE PACKAGE,1fter4fhxmld19135,LD19135,25,New,Truck,4 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,11.8,9.8," KEY FEATURES: 2021 Ranger XLT, 4x4, Crew Cab, 2.3L ecoboost engine, Grey, Cloth seats, XLT series, trailer tow package, Black appearance  package, Tech package, adaptive cruise, Forward sensors, 18 inch wheels, Reverse sensors, back up cam, Auto high beams, Fog lamps, BLIS, Ford Pass, Lane keeping system, SYNC 3 and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",48578,Missing Value,Missing Value
2021,Ford,Mustang GT PREMIUM 5.0L V8 19S NAVI BLACK PACKAGE,1FA6P8CF9M5108605,5108605,25,New,Coupe,8 Cylinder Engine,RWD,2,Gas,7.5,4.55,Missing Value," KEY FEATURES: 2021 Mustang, GT Couple, premium, 5.0L v8, 6-speed manual, Oxford White, GT Black accent package, 19 inch wheels, black rear wing, 3.55 rear end, Active Exhaust, navigation, Ford safe and sound package, Adaptive cruise, blind spot with rear cross traffic alert, reverse camera, reverse sensors, Fordpass, sync 3 and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",50860,54360,3500
2021,Ford,Explorer XLT 4WD 6 PASSENGER CLOTH SEATS,1fmsk8dh4mgb19387,GB19387,25,New,SUV,4 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,11.6,8.7," KEY FEATURES: 2021 Explorer, XLT, 4-wheel drive, 2.3L ecoboost engine, 10-speed transmission, Silver with Black active seat leather interior, XLT 202a package, remote Start, 20in aluminum wheels, adaptive cruise control, voice-activated navigation, evasive steering assist, Ford Co pilot360 assist, heated steering wheel, trailer tow package, 8-way power passenger seat drivers seat, Lane keep system, blind-spot system, reverse backup camera, reverse sensors, sync 3, Ford pass power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",51149,52149,1000
2021,Ford,Explorer XLT 4WD APPEARANCE PKG NAVI ROOF ADAPTIVE CRUISE,1fmsk8dh3mga53351,GA53351,25,New,SUV,4 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,11.6,8.7," KEY FEATURES: 2021 Explorer, XLT, 4-wheel drive, 2.3L ecoboost engine, 10-speed transmission, Black with light slate active seat leather interior, XLT 202a package, remote Start, XLT sport appearance package, 20in aluminum wheels, adaptive cruise control, voice-activated navigation, evasive steering assist, Ford Co pilot360 assist, heated steering wheel, trailer tow package, twin panel moonroof, 8-way power passenger seat drivers seat, Lane keep system, blind-spot system, reverse backup camera, reverse sensors, sync 3, Ford pass power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",53649,54649,1000
2021,Ford,F-150 XLT/XTR 3.3L SUPERCAB NAVI CHROME PACKAGE,1FTEX1EB8MFB22027,FB22027,25,New,Truck,V6 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,Missing Value,Missing Value," KEY FEATURES: KEY FEATURES: 2021 F150 XLT, 4x4, Supercab, White, Dark Slate Cloth interior, 3.3L V6 engine, 10-speed automatic transmission, 301a XLT/XTR package, 18inch Chrome aluminum wheels, trailer tow package, SYNC4, built-in navigation, remote start, Auto high beams, blind-spot with rear traffic alert, Dynamic hitch assist, Ford pass, Lane keep system, pre-collision braking, pre-collision assist, rear backup camera, keyless entry, reverse brake assist, heavy-duty shocks power windows , power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",54054,Missing Value,Missing Value
2021,Ford,F-150 XLT 4WD REG CAB SHORT BOX5.0L FX4,1FTMF1E54MKD51949,KD51949,25,New,Truck,8 Cylinder Engine,10 Speed Automatic,4x4,2,Gas,Missing Value,Missing Value," KEY FEATURES: KEY FEATURES: 2021 F150 XLT, 4x4, Reg cab, Black, Dark Slate Cloth interior, 5.0L V8 engine, 10-speed automatic transmission, 301a XLT package, 17inch aluminum wheels, trailer tow package, SYNC4, FX4, built-in navigation, remote start, Auto high beams, blind-spot with rear traffic alert, Dynamic hitch assist, Ford pass, Lane keep system, pre-collision braking, pre-collision assist, rear backup camera, keyless entry, reverse brake assist, heavy-duty shocks power windows , power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",54325,Missing Value,Missing Value
2021,Ford,F-150 XLT 4WD SUPERCAB 2.7L V6 XLT/XTR,1ftex1ep2mkd29158,KD29158,25,New,Truck,V6 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,Missing Value,Missing Value," KEY FEATURES: 2021 F-150, 4X4, SuperCab, 2.7L v6 engine, 10-speed transmission, XLT/XTR, Silver, trailer tow package, trailer brake controller, 17 inch rims, 3.73 rear end, Navigation, power windows, power locks, remote keyless entry, rear backup camera, Ford pass, sync, engine block heater, cruise control, cloth seats and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",55729,Missing Value,Missing Value
2021,Ford,Explorer LIMITED 4WD 3.3L HYBRID ROOF NAVI LEATHER,1FM5K8FWXMNA13983,NA13983,25,New,SUV,4 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,11.6,8.7,"KEY FEATURES: 2021 Ford Explorer, Limited, all-wheel drive, 3.3litre Hybrid engine, black Leather seats, White, 301a equipment pack, 20 inch aluminum wheels, LCD display screen, twin panel moonroof, 360 degree camera, auto high beams, B&O audio, fog lamps, foot activation tailgate, heated and cooled front seats, heated rear seats, B&O sound system, heated steering wheel, Lane keep system, pre-collision assist, remote vehicle stop, reverse backup camera, sync 3, Ford pass, voice activated navigation, active park assist, adaptive cruise, blind spot with rear cross traffic alert loaded
Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!
** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance & Non-stackable where applicable
Read Less ",57949,58949,1000
2021,Ford,F-150 XLT 4WD SUPERCAB 5.0L V8 XLT SPORT TRAILER TOW,1ftfx1e51mfa75227,FA75227,25,New,Truck,8 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,Missing Value,Missing Value," KEY FEATURES: KEY FEATURES: 2021 F150 XLT, 4x4, Super cab, Silver, Black Cloth interior with power seats, 5.0L V8 engine, 10-speed automatic transmission, 301a Sport appearance package, 20inch aluminum wheels, trailer tow package, SYNC4, built-in, Auto high beams, blind-spot with rear traffic alert, Dynamic hitch assist, Ford pass, Lane keep system, pre-collision braking, pre-collision assist, rear backup camera, keyless entry, reverse brake assist, heavy-duty shocks power windows , power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",59659,Missing Value,Missing Value
2021,Ford,F-150 XLT 4WD SuperCab 6.5' Box,1FTFX1E87MKD77543,KD77543,25,New,Truck,V6 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,Missing Value,Missing Value," KEY FEATURES: 2021 F-150, 4X4, SuperCab, 3.5 v6 engine, 10-speed transmission, XLT/XTR, Black, trailer tow package, trailer brake controller,20 inch rims, XTR Chrome package, 3.55 locking RR axle, power windows, power locks, remote keyless entry, rear backup camera, Ford pass, sync, engine block heater, cruise control, cloth seats and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",59829,Missing Value,Missing Value
2022,Ford,E-Series Cutaway E-450 DRW 176 WB,1fdxe4fn0ndc07171,DC07171,25,New,Truck,8 Cylinder Engine,6 Speed Automatic,RWD,2,Gas,Missing Value,Missing Value," KEY FEATURES: KEY FEATURES: 2022 SD Commercial Cutaway Van, 7.3L V8 Please call for more information.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",62599,Missing Value,Missing Value
2021,Ford,Explorer ST 4WD STREET PACK TECH PACK LOADED,1fm5k8gc7mgb09143,GB09143,25,New,SUV,V6 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,13.3,9.8," KEY FEATURES: 2021 Ford Explorer, ST, all-wheel drive, 3.0litre Ecoboost V6 engine, Silver, 401a equipment pack, Street St package, 21 inch aluminum wheels, performance brakes, premium technology package, 14 speakers, 10 inch LCD display screen, multi-contour seats, twin panel moonroof, 360 degree camera, auto high beams, fog lamps, foot activation tailgate, heated and cooled front seats, heated rear seats, B&O sound system, heated steering wheel, Lane keep system, pre-collision assist, remote vehicle stop, reverse backup camera, sync 3, Ford pass, voice activated navigation, active park assist, adaptive cruise, blind spot with rear cross traffic alert loaded
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!
Read Less ",65399,66399,1000
2021,Ford,Explorer ST 4WD STREET PACK TECH PACK LOADED,1FM5K8GC1MGB37827,GB37827,25,New,SUV,V6 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,13.3,9.8," KEY FEATURES: 2021 Ford Explorer, ST, all-wheel drive, 3.0litre Ecoboost V6 engine, Red, 401a equipment pack, Street St package, 21 inch aluminum wheels, performance brakes, premium technology package, 14 speakers, 10 inch LCD display screen, multi-contour seats, twin panel moonroof, 360 degree camera, auto high beams, fog lamps, foot activation tailgate, heated and cooled front seats, heated rear seats, B&O sound system, heated steering wheel, Lane keep system, pre-collision assist, remote vehicle stop, reverse backup camera, sync 3, Ford pass, voice activated navigation, active park assist, adaptive cruise, blind spot with rear cross traffic alert loaded
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!
Read Less ",65849,66849,1000
2021,Ford,Explorer ST 4WD STREET PACK TECH PACK LOADED,1fm5k8gc6mga47900,GA47900,25,New,SUV,V6 Cylinder Engine,10 Speed Automatic,4x4,4,Gas,13.3,9.8," KEY FEATURES: 2021 Ford Explorer, ST, all-wheel drive, 3.0litre Ecoboost V6 engine, Black, 401a equipment pack, Street St package, 21 inch aluminum wheels, performance brakes, premium technology package, 14 speakers, 10 inch LCD display screen, multi-contour seats, twin panel moonroof, 360 degree camera, auto high beams, fog lamps, foot activation tailgate, heated and cooled front seats, heated rear seats, Bench rear seats, B&O sound system, heated steering wheel, Lane keep system, pre-collision assist, remote vehicle stop, reverse backup camera, sync 3, Ford pass, voice activated navigation, active park assist, adaptive cruise, blind spot with rear cross traffic alert loaded
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!
Read Less ",65899,66899,1000
